Query,Websites,sources
Canoo industry,https://en.wikipedia.org/wiki/Canoo,
Canoo profile,https://www.globaldata.com/company-profile/canoo-inc/,
Market size,"https://companiesmarketcap.com/canoo/marketcap/#:~:text=Market%20cap%3A%20%240.15%20Billion,cap%20according%20to%20our%20data.",Market size
"Market size, investors",https://www.macrotrends.net/stocks/charts/GOEV/canoo/market-cap,
Market and competitor profile,"Annual Report on Canoo Technologies's Revenue, Growth, SWOT Analysis & Competitor Intelligence - IncFact",
Shares,Canoo Inc. (GOEV) Statistics & Valuation Metrics - Stock Analysis,
Investors,Canoo selects Google Cloud technologies to maximize its data :: Canoo Inc. (GOEV),
Growth rate,https://www.fool.com/investing/2024/01/30/where-will-canoo-stock-be-in-1-year/,
Growth rate,https://www.reuters.com/business/autos-transportation/ev-maker-canoo-slashes-spending-second-half-2023-forecasts-smaller-loss-2023-11-14/,
Key players,https://www.marketscreener.com/quote/stock/CANOO-INC-57291647/company/,
competitors,https://craft.co/canoo/competitors,
competitors and comparsion,https://www.cbinsights.com/company/evelozcity/alternatives-competitors,
Finanical performance,https://www.nasdaq.com/market-activity/stocks/goev/financials,
Finanical performance,https://stockanalysis.com/stocks/goev/statistics/,
General,Electric vehicle spotlight (EVS): Canoo | Electrek,
Finanical performance,"https://finance.yahoo.com/news/canoo-inc-goev-reports-third-013523519.html#:~:text=Financial%20Performance%20Overview&text=The%20adjusted%20EBITDA%20loss%20of,million%20loss%20a%20year%20ago.",
EV trends,EV Industry Trends In 2024 (greenlancer.com),
EV trend & consumer behavior,How The Increase In Electric Vehicles Is Affecting Consumer Behavior (forbes.com),
EV trend & consumer behavior,Shift in consumer behaviour in favour of electric vehicles over the past year - Electric Vehicles News | The Financial Express,
