,Company,Headquaters
0,TESLA,"Palo Alto, CA"
1,GENERAL MOTORS HOLDINGS,"Detroit, MI"
2,UAW-FORD VOLUNTARY EMPLOYEES BE,"Detroit, MI"
3,FCA US,"Auburn Hills, MI"
4,AMERICAN HONDA MOTOR,"Marysville, OH"
5,NORTHROP GRUMMAN SYSTEMS,"Fairfax, VA"
6,EATON,"Cleveland, OH"
7,BOEING,"Seattle, WA"
8,CANOO TECHNOLOGIES,"Torrance, CA"
9,LISI HOLDING NORTH AMERICA,"Torrance, CA"
10,ROBINSON HELICOPTER,"Torrance, CA"
11,DAICEL AMERICA HOLDINGS,"Torrance, CA"
12,MOTORCAR PARTS OF AMERICA,"Torrance, CA"
13,GARRETT TRANSPORTATION I,"Torrance, CA"
